Match ,Teams,Venue,Normalized stat score abs,Normalized stat score pure,Ent_score,Tension Score,Stat_Ent,Diff_ten_ent,Label
UCL_SF_L1,Barcelona vs Inter,Estadi Olímpic Lluís Companys,10.212,10.212,12.5,12.5,11.356,0,Lived up to hype
UCL_SF_L2,Inter vs Barcelona,San Siro,10.309,1.509,17.5,13.5,13.9045,4,Exceeded Expectantions
UCL_RO16_L1,PSG vs Liverpool,Parc des Princes,12.948,12.148,3.5,8,8.224,-4.5,Major Letdown
UCL_RO16_L2,Liverpool vs PSG ,Anfield,2.739,-2.139,8,9,5.3695,-1,Slight Letdown
UCL_GS_,Benfica vs Barcelona,Estádio do Sport Lisboa e Benfica,11.681,-11.081,22,5,16.8405,17,Exceeded Expectantions
UEL_QF_L2,Man United vs Lyon,Old Trafford,3.156,1.444,21.5,7.5,12.328,14,Exceeded Expectantions
UCL_F_,PSG vs Inter,Allianz Arena,7.729,6.929,6.5,11,7.1145,-4.5,Major Letdown
UCL_RO16_L1,Real Madrid vs Atlético Madrid,Estadio Santiago Bernabeu,3.29,3.09,4.5,14.25,3.895,-9.75,Major Letdown
UCL_RO16_L2, Atlético Madrid vs Real Madrid,Riyadh Air Metropolitano,5.746,-0.946,8,15.25,6.873,-7.25,Major Letdown
CUP_F_,Barcelona vs Real Madrid,Estadio de La Cartuja,6.215,4.815,20.5,17,13.3575,3.5,Exceeded Expectantions
UCL_GS_,PSG vs Man City,Parc des Princes,7.761,7.161,9.5,6.5,8.6305,3,Exceeded Expectantions
LEAGUE_LEAGUE_,Liverpool vs Arsenal,Anfield,2.792,-2.192,6.5,11.75,4.646,-5.25,Major Letdown
UCL_QF_L1,Arsenal vs Real Madrid,Emirates Stadium,4.153,3.953,10.5,9.5,7.3265,1,Lived up to hype
UCL_QF_L2,Real Madrid vs Arsenal,Estadio Santiago Bernabeu,6.848,4.748,6.5,9.5,6.674,-3,Major Letdown
LEAGUE_F_,Barcelona vs Real Madrid,Estadi Olímpic Lluís Companys,7.482,7.082,12.5,13.5,9.991,-1,Slight Letdown
UCL_GS_,Liverpool vs Real Madrid,Anfield,6.101,6.001,5.5,11.5,5.8005,-6,Major Letdown
