Match ,Teams,Venue,Scoreline,Home Goals ,Away Goals,Home Possession,Away Possession,Home Shots,Away Shots,Home SoT,Away SoT,Home Passes,Away Passes,Home Pass Acc,Away Pass Acc,Home Fouls,Away Fouls,Home Yellows,Away Yellows,Home Reds,Away Reds,Home Offsides,Away Offsides,Home Corners,Away Corners,Home Saves,Away Saves,Goals Diff,Possession Diff,Shots Diff,SoT Diff,Passes Diff,Pass Acc Diff,Fouls Diff,Yellows Diff,Reds Diff,Offsides Diff,Corners Diff,Saves Diff,Stat score abs,Stat score pure,Normalized stat score abs,Normalized stat score pure,Balance
UCL_SF_L1,Barcelona vs Inter,Estadi Olímpic Lluís Companys,3-3,3,3,72,28,19,7,9,3,683,271,91,75,10,11,1,1,0,0,0,5,7,2,0,6,0,44,12,6,412,16,1,0,0,5,5,-6,102.12,102.12,10.212,10.212,-2.12
UCL_SF_L2,Inter vs Barcelona,San Siro,4-3,4,3,28,72,22,13,10,7,772,313,86,65,10,14,2,5,0,0,2,9,7,5,4,6,1,-44,9,3,459,21,4,3,0,7,2,-2,103.09,15.09,10.309,1.509,-3.09
UCL_RO16_L1,PSG vs Liverpool,Parc des Princes,0-1,0,1,71,29,27,2,10,1,693,295,90,74,3,7,1,1,0,0,3,0,14,2,0,10,-1,42,25,9,398,16,4,0,0,-3,12,-10,129.48,121.48,12.948,12.148,-29.48
UCL_RO16_L2,Liverpool vs PSG ,Anfield,0-1,0,1,45,55,19,21,8,8,536,675,79,84,14,6,1,1,0,0,3,3,12,6,7,8,-1,-10,-2,0,-139,-5,-8,0,0,0,6,-1,27.39,-21.39,2.739,-2.139,72.61
UCL_GS_,Benfica vs Barcelona,Estádio do Sport Lisboa e Benfica,4-5,4,5,25,75,10,22,5,11,250,731,70,90,9,9,1,4,1,0,5,1,2,6,6,1,-1,-50,-12,-6,-481,-20,0,3,-1,-4,-4,5,116.81,-110.81,11.681,-11.081,-16.81
UEL_QF_L2,Man United vs Lyon,Old Trafford,5-4,5,4,59,41,21,21,8,9,484,690,84,87,17,14,3,3,0,1,2,2,7,3,5,3,1,18,0,-1,-206,-3,-3,0,1,0,4,2,31.56,14.44,3.156,1.444,68.44
UCL_F_,PSG vs Inter,Allianz Arena,5-0,5,0,60,40,23,8,8,2,531,352,87,81,13,7,2,3,0,0,0,5,4,6,2,3,5,20,15,6,179,6,-6,1,0,5,-2,-1,77.29,69.29,7.729,6.929,22.71
UCL_RO16_L1,Real Madrid vs Atlético Madrid,Estadio Santiago Bernabeu,2-1,2,1,52,48,13,6,7,2,642,602,92,89,10,13,1,0,0,0,0,0,6,3,1,5,1,4,7,5,40,3,3,-1,0,0,3,-4,32.9,30.9,3.29,3.09,67.1
UCL_RO16_L2, Atlético Madrid vs Real Madrid,Riyadh Air Metropolitano,1-0,1,0,38,62,17,10,8,3,510,856,86,92,11,16,4,4,0,0,1,1,10,10,3,7,1,-24,7,5,-346,-6,5,0,0,0,0,-4,57.46,-9.46,5.746,-0.946,42.54
CUP_F_,Barcelona vs Real Madrid,Estadio de La Cartuja,3-2,3,2,60,40,22,15,9,7,672,457,88,80,23,11,4,3,0,2,2,7,8,7,5,6,1,20,7,2,215,8,-12,-1,2,5,1,-1,62.15,48.15,6.215,4.815,37.85
UCL_GS_,PSG vs Man City,Parc des Princes,4-2,4,2,64,36,26,9,9,6,617,356,90,82,10,10,1,1,0,0,3,0,11,6,4,5,2,28,17,3,261,8,0,0,0,-3,5,-1,77.61,71.61,7.761,7.161,22.39
LEAGUE_LEAGUE_,Liverpool vs Arsenal,Anfield,2-2,2,2,44,56,14,15,5,7,355,447,82,85,13,10,1,1,0,1,3,1,3,1,5,3,0,-12,-1,-2,-92,-3,-3,0,1,-2,2,2,27.92,-21.92,2.792,-2.192,72.08
UCL_QF_L1,Arsenal vs Real Madrid,Emirates Stadium,3-0,3,0,54,46,12,9,11,3,489,436,89,86,8,9,1,0,0,1,0,2,5,3,3,8,3,8,3,8,53,3,1,-1,1,2,2,-5,41.53,39.53,4.153,3.953,58.47
