Match ,Teams,Rivalry,Rivalry Weight,Derby,Derby Weight,Stage,Stage Weight,Star Players,Star Players Weight,H2H History,H2H History Weight,Team,Team Weight,Title Race Impact,Title Race Impact,Past KO Encounters,Past KO Encounters Weight,Leg 2 ,Leg 2 Weight,Decided,Decided Weight,Current Form,Current Form Weight,Tension Score,Label
UCL_SF_L1,Barcelona vs Inter,Medium,1,No,0,SF,4,High,1,Neutral,0.5,Both Strong,2,No,0,Yes,1,No,0,No,1,Both Hot,2,13.5,Ultra Hyped
UCL_SF_L2,Inter vs Barcelona,Medium,1,No,0,SF,4,High,1,Neutral,0.5,Both Strong,2,No,0,Yes,1,Yes,1,No,1,Both Hot,2,14.5,Ultra Hyped
UCL_RO16_L1,PSG vs Liverpool,Low,0,No,0,RO16,2,High,1,Rare,0,Both Strong,2,No,0,No,0,No,0,No,1,Both Hot,2,8,Neutral
UCL_RO16_L2,Liverpool vs PSG ,Low,0,No,0,RO16,2,High,1,Rare,0,Both Strong,2,No,0,No,0,Yes,1,No,1,Both Hot,2,9,Neutral
UCL_GS_,Benfica vs Barcelona,Low,0,No,0,GS,0,High,1,Neutral,0.5,One Strong,1,No,0,No,0,No,0,No,1,One Hot-Medium,1.5,5,Low Tension
UEL_QF_L2,Man United vs Lyon,Low,0,No,0,QF,3,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,Yes,1,No,1,One Hot,1,7.5,Neutral
UCL_F_,PSG vs Inter,Low,0,No,0,F,5,High,1,Rare,0,Both Strong,2,No,0,No,0,No,0,No,1,Both Hot,2,11,Hyped
UCL_RO16_L1,Real Madrid vs Atlético Madrid,Medium,1,Yes,1.5,RO16,2,High,1,Hot,1,Both Strong,2,No,0,Yes,1,No,0,No,1,Both Hot,2,14.25,Ultra Hyped
UCL_RO16_L2, Atlético Madrid vs Real Madrid,Medium,1,Yes,1.5,RO16,2,High,1,Hot,1,Both Strong,2,No,0,Yes,1,Yes,1,No,1,Both Hot,2,15.25,Ultra Hyped
CUP_F_,Barcelona vs Real Madrid,High,2,No,0,F,5,High,1,Hot,1,Both Strong,2,No,0,Yes,1,No,0,No,1,Both Hot,2,17,Ultra Hyped
UCL_GS_,PSG vs Man City,Low,0,No,0,GS,0,High,1,Rare,0,Both Strong,2,No,0,Yes,1,No,0,No,1,One Hot-Medium,1.5,6.5,Low Tension
LEAGUE_LEAGUE_,Liverpool vs Arsenal,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,No,1,Both Hot,2,11,Hyped
