Match ,Teams,Rivalry,Derby,Stage,Star Players,H2H History,Team,Title Race Impact,Past KO Encounters,Leg 2 ,Decided,Current Form,Tension Score,Label
UCL_SF_L1,Barcelona vs Inter,Medium,No,SF,High,Neutral,Both Strong,No,Yes,No,No,Both Hot,13.5,Ultra Hyped
UCL_SF_L2,Inter vs Barcelona,Medium,No,SF,High,Neutral,Both Strong,No,Yes,Yes,No,Both Hot,14.5,Ultra Hyped
UCL_RO16_L1,PSG vs Liverpool,Low,No,RO16,High,Rare,Both Strong,No,No,No,No,Both Hot,8,Neutral
UCL_RO16_L2,Liverpool vs PSG ,Low,No,RO16,High,Rare,Both Strong,No,No,Yes,No,Both Hot,9,Neutral
UCL_GS_,Benfica vs Barcelona,Low,No,GS,High,Neutral,One Strong,No,No,No,No,One Hot-Medium,5,Low Tension
UEL_QF_L2,Man United vs Lyon,Low,No,QF,Medium,Rare,One Strong,No,No,Yes,No,One Hot,7.5,Neutral
UCL_F_,PSG vs Inter,Low,No,F,High,Rare,Both Strong,No,No,No,No,Both Hot,11,Hyped
UCL_RO16_L1,Real Madrid vs Atlético Madrid,Medium,Yes,RO16,High,Hot,Both Strong,No,Yes,No,No,Both Hot,14.25,Ultra Hyped
UCL_RO16_L2, Atlético Madrid vs Real Madrid,Medium,Yes,RO16,High,Hot,Both Strong,No,Yes,Yes,No,Both Hot,15.25,Ultra Hyped
CUP_F_,Barcelona vs Real Madrid,High,No,F,High,Hot,Both Strong,No,Yes,No,No,Both Hot,17,Ultra Hyped
UCL_GS_,PSG vs Man City,Low,No,GS,High,Rare,Both Strong,No,Yes,No,No,One Hot-Medium,6.5,Low Tension
LEAGUE_LEAGUE_,Liverpool vs Arsenal,High,No,LEAGUE,High,Hot,Both Strong,No,No,No,No,Both Hot,11,Hyped
UCL_QF_L1,Arsenal vs Real Madrid,Low,No,QF,High,Neutral,Both Strong,No,No,No,No,Both Hot,9.5,Neutral
UCL_QF_L2,Real Madrid vs Arsenal,Low,No,QF,High,Neutral,Both Strong,No,No,Yes,Yes,Both Hot,9.5,Neutral
LEAGUE_LEAGUE_,Barcelona vs Real Madrid,High,No,LEAGUE,High,Hot,Both Strong,Yes,Yes,No,No,Both Hot,13.5,Ultra Hyped
UCL_GS_,Liverpool vs Real Madrid,High,No,GS,High,Hot,Both Strong,No,Yes,No,No,One Hot-Medium,11.5,Hyped
LEAGUE_LEAGUE_,Barcelona vs Valencia,Low,No,LEAGUE,Medium,Rare,One Strong,Yes,No,No,No,One Hot,5,Low Tension
LEAGUE_LEAGUE_,Atlético Madrid vs Barcelona,Medium,No,LEAGUE,High,Neutral,Both Strong,Yes,Yes,No,No,Both Hot,11,Hyped
UCL_GS_,Barcelona vs Bayern,High,No,GS,High,Hot,Both Strong,No,Yes,No,No,Both Hot,12,Hyped
SPCUP_F_,Liverpool vs Newcastle,Medium,No,F,Medium,Rare,One Strong,No,No,No,No,Both Hot,11.5,Hyped
UCL_GS_,Leverkusen vs Sparta Praha,Low,No,GS,Medium,Rare,One Decent,No,No,No,No,One Hot-Medium,3.5,Dead Fixture
CWC_F_,Chelsea vs PSG,Low,No,F,High,Rare,Both Strong,No,No,No,No,Both Hot,11,Hyped
UCL_SF_L1,Arsenal vs PSG,Low,No,SF,High,Rare,Both Strong,No,No,No,No,Both Hot,10,Hyped
UCL_SF_L2,PSG vs Arsenal,Low,No,SF,High,Rare,Both Strong,No,No,Yes,No,Both Hot,11,Hyped
UCL_GS_,Real Madrid vs Milan,Medium,No,GS,Medium,Rare,Both Strong,No,No,No,No,One Hot,6.5,Low Tension
UECL_F_,Real Betis vs Chelsea,Low,No,F,Medium,Rare,One Strong,No,No,No,No,Both Hot,9.5,Neutral
LEAGUE_LEAGUE_,Getafe vs Real Sociedad,Medium,No,LEAGUE,Low,Neutral,Both Weak,No,No,No,No,Both Cold,3.5,Dead Fixture
LEAGUE_LEAGUE_,Arsenal vs Man City,High,No,LEAGUE,High,Hot,Both Strong,Yes,Yes,No,No,Both Hot,13.5,Ultra Hyped
LEAGUE_LEAGUE_,Everton vs Liverpool,High,Yes,LEAGUE,Medium,Hot,One Strong,Yes,No,No,No,One Hot-Medium,12.75,Hyped
CUP_GS_,Arsenal vs Man United,High,No,GS,High,Hot,Both Strong,No,No,No,No,One Hot-Medium,10.5,Hyped
CUP_F_,Crystal Palace vs Man City,Low,No,F,Medium,Rare,One Strong,No,No,No,No,One Hot-Medium,9,Neutral
CWC_RO16_,Man City vs Al-Hilal,Low,No,RO16,Medium,Rare,One Strong-Decent,No,No,No,No,Both Hot,7,Neutral
LEAGUE_LEAGUE_,Crystal Palace vs Wolves,Low,No,LEAGUE,Low,Neutral,Both Weak,No,No,No,No,Both Cold,1.5,Dead Fixture
CUP_SF_L1,Milan vs Inter,High,Yes,SF,High,Hot,Both Strong,No,No,No,No,One Hot-Medium,16.75,Ultra Hyped
CUP_SF_L2,Inter vs Milan,High,Yes,SF,High,Hot,Both Strong,No,No,Yes,No,One Hot-Medium,17.75,Ultra Hyped
CUP_F_,Milan vs Bologna,Medium,No,F,Medium,Neutral,One Strong,No,No,No,No,One Hot,11,Hyped
UCL_SF_L1,Bayern vs Real Madrid,High,No,SF,High,Hot,Both Strong,No,No,No,No,Both Hot,15,Ultra Hyped
UCL_SF_L2,Real Madrid vs Bayern,High,No,SF,High,Hot,Both Strong,No,No,Yes,No,Both Hot,16,Ultra Hyped
UCL_F_,Dortmund vs Real Madrid ,Medium,No,F,High,Neutral,Both Strong,No,No,No,No,Both Hot,13.5,Ultra Hyped
CUP_F_,Man City vs Man United,High,Yes,F,High,Hot,One Strong-Decent,No,No,No,No,One Hot-Medium,17.25,Ultra Hyped
UCL_QF_L1,Bayern vs Inter,Low,No,QF,High,Hot,Both Strong,No,No,No,No,Both Hot,10,Hyped
UCL_QF_L2,Inter vs Bayern,Low,No,QF,High,Hot,Both Strong,No,No,Yes,No,Both Hot,11,Hyped
LEAGUE_LEAGUE_,Espanyol vs Barcelona,High,Yes,LEAGUE,Medium,Neutral,One Strong,Yes,No,No,NA,One Hot,10.75,Hyped
LEAGUE_LEAGUE_,Tottenham vs Liverpool,Medium,No,LEAGUE,Medium,Neutral,One Strong-Decent,Yes,No,No,NA,One Hot,7,Neutral
UEL_F_,Tottenham vs Man United,Medium,No,F,Medium,Neutral,One Strong,No,No,No,NA,One Hot,10,Hyped
LEAGUE_LEAGUE_,Como vs Inter,Low,No,LEAGUE,Medium,Neutral,One Strong,Yes,No,No,NA,One Hot,4.5,Low Tension
LEAGUE_LEAGUE_,Napoli vs Cagliari,Low,No,LEAGUE,Medium,Rare,One Strong,Yes,No,No,NA,One Hot,4,Low Tension
